raw_endpoint	task_type	raw_unit	raw_relation	descriptive_only	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count
T1/2	regression	hour	=	true	15	12	0.3	0.398	0.79	1.05	2.3	16.45	38.408	44.3216	45.8	10.3026666667	14.1429272918	15.4	1.3	0.2	0	0	15	1
T1/2	regression	hour	~	true	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	0
T1/2	regression	hours	<	true	5	4	2	2	2	2	5	24	68.8	77.76	80	22.6	33.3736422945	22	3	0.4	0	0	5	1
T1/2	regression	hours	=	true	443	271	0.032	0.07492	0.5	2.4175	7	21.55	68	158.7	1550	22.0003408578	84.5979432949	19.1325	5.8	0.0225733634312	0	0	443	39
T1/2	regression	hours	>	true	39	13	1	1.38	2.9	12	24	24	135.6	168	168	35.5641025641	44.6151938197	12	12	0.333333333333	0	0	39	8
T1/2	regression	hours	~	true	11	9	1	1.05	1.25	4.5	12	24	70	70	70	21.7272727273	25.3054970672	19.5	10.5	0.181818181818	0	0	11	2
T1/2	regression	min	=	true	36	36	6.72214319401	7.96897263153	11.5711282539	18.6147260274	29.1162545412	78.75	167.75	236.825	240.5	55.2164397098	57.4479614263	60.1352739726	14.4064844262	0.0277777777778	0	0	36	2
T1/2	regression	minute	<	true	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	3	0
T1/2	regression	minute	=	true	135	111	0.6	0.6472	1.58	7	18	72	187.2	288.82	449	49.764962963	67.966677062	65	15.5	0.0296296296296	0	0	135	9
T1/2	regression	minute	>	true	6	3	180	186	210	300	300	300	825	965	1000	396.666666667	299.443929086	0	0	0.666666666667	0	0	6	2
T1/2	regression	minute	~	true	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	0
T1/2	regression	minutes	<	true	18	7	1	1	1	2	5	8.75	30	30	30	7.72222222222	8.86371025458	6.75	3	0.333333333333	0	0	18	2
T1/2	regression	minutes	=	true	721	459	0.42	0.658	1.34	5.8	17	55	192	417	7560	68.4544244105	359.725967479	49.2	14.5	0.0138696255201	0	0	721	62
T1/2	regression	minutes	>	true	17	10	10	13.2	26	110	240	400	500	500	500	242.058823529	171.071063665	290	156	0.294117647059	0	0	17	0
T1/2	regression	minutes	~	true	28	15	1.5	1.635	2.35	8.75	30	67.5	326	391.1	410	69.375	105.091549595	58.75	26	0.142857142857	0	0	28	3
T1/2	regression	month	=	true	1	1	47.4	47.4	47.4	47.4	47.4	47.4	47.4	47.4	47.4	47.4	0	0	0	1	0	0	1	0
T1/2	regression	seconds	<	true	1	1	10	10	10	10	10	10	10	10	10	10	0	0	0	1	0	0	1	0
T1/2	regression	seconds	=	true	407	325	0.0008	0.001106	0.00223	0.00755	0.0317	0.16075	25.23115	343.8	910	12.2008007371	73.2949110256	0.1532	0.028	0.012285012285	0	0	407	76
T1/2	regression	seconds	~	true	9	8	11	11	11	14	40	45	55.6	59.12	60	33.6666666667	18.1659021246	31	11	0.222222222222	0	0	9	0
T1/2	regression	source_specific_half_life	=	true	3	3	7.3	7.354	7.57	8.65	10	11	11.8	11.96	12	9.76666666667	2.35867194271	2.35	2	0.333333333333	0	0	3	0
Vd	regression	L	=	true	15	15	5.87	6.4902	8.971	43.9	104	354.37	484.97	573.394	595.5	206.219333333	192.600117804	310.47	98.13	0.0666666666667	0	0	15	0
Vd	regression	L/kg	=	true	14	14	0.7	0.713	0.765	1.925	3.1	9.4335	18.2897	26.53794	28.6	6.36464285714	7.65925276138	7.5085	1.892	0.0714285714286	0	0	14	1
Vd	regression	mL/kg	=	true	24	23	162	164.07	175.5	217.675	265.9	731.75	2905.5	2994.7	3020	811.029166667	997.244220003	514.075	79.9	0.0833333333333	0	0	24	5
cell_viability_percent	numeric_regression	%	=	true	7	7	7	10.3	23.5	64	74	90	97.7	97.94	98	69.5714285714	30.9454204628	26	12	0.142857142857	0	0	7	1
chromatographic_retention	regression	min	blank	true	22	20	6.7	6.868	7.525	9.21	10.3	11.875	12.57	18.209	19.7	10.6231818182	2.61286813103	2.665	1.45	0.136363636364	0	0	22	1
clearance	regression	mL/min/kg	blank	true	5	5	93.3	94.568	99.64	125	162	206	277.2	291.44	295	176.26	78.576319588	81	44	0.2	0	0	5	0
clearance	regression	uL/min/mg protein	blank	true	7	7	10	11.38	16.9	38	160	192	286.7	315.74	323	136.142857143	113.395221198	154	117	0.142857142857	0	0	7	0
