raw_endpoint	task_type	raw_unit	raw_relation	descriptive_only	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count
plasma_concentration	censored_regression	ng/mL	<	true	13	1	2	2	2	2	2	2	2	2	2	2	0	0	0	1	0	0	13	0
plasma_concentration	regression	ng/mL	blank	true	34	34	4	4.1848	4.846	12.5	119.5	926.75	6017.75	11068.74	12396	1356.51176471	2682.29009518	914.25	114.72	0.0294117647059	0	0	34	7
plasma_stability	censored_regression	% remaining	>	true	2	1	99	99	99	99	99	99	99	99	99	99	0	0	0	1	0	0	2	0
plasma_stability	regression	% remaining	blank	true	8	8	64	64.98	68.9	80.25	87.5	92.5	96.6	97.72	98	85.25	10.8067439262	12.25	6.5	0.125	0	0	8	0
solubility	regression	Mass concentration, kg/m3	=	true	40	34	0.1	0.1078	0.1295	0.45	1.545	14.5675	140.528	201.1	201.1	24.3995	50.7340971143	14.1175	1.42	0.05	0	0	40	8
solubility	regression	Mass fraction	=	true	10	10	0.00402	0.0041271	0.0045555	0.00679	0.00901	0.010775	0.015135	0.016467	0.0168	0.009243	0.00382161411506	0.003985	0.002155	0.1	0	0	10	1
solubility	regression	Mass ratio of solute to solvent	=	true	54	53	0.00099	0.0012073	0.0024455	0.009185	0.0296	0.08685	0.218995	0.248415	0.272	0.0643277777778	0.0739777106326	0.077665	0.025675	0.037037037037	0	0	54	5
solubility	regression	Molality, mol/kg	=	true	19	19	0.0122	0.012218	0.01229	0.0128	0.0137	0.01465	0.01584	0.016128	0.0162	0.0138157894737	0.00121118085533	0.00185	0.001	0.0526315789474	0	0	19	0
solubility	regression	Mole fraction	=	true	156	156	3.16e-05	5.4449e-05	0.00016025	0.000422075	0.00108255	0.002513025	0.006695725	0.008992	0.0111172	0.00187879108974	0.00211773437316	0.00209095	0.00077055	0.00641025641026	0	0	156	10
solubility	regression	uM	=	true	41	41	2.8	3.28	11.5	412	678	758	872	926	936	546.348780488	293.161329409	346	93	0.0243902439024	0	0	41	0
stability_half_life	censored_numeric_regression	h	<	true	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	1	0	0	1	0
stability_half_life	numeric_regression	h	=	true	18	17	0.3	0.453	1.065	5.3	9.66	16.1825	31.49	34.618	35.4	12.5027777778	10.3503542455	10.8825	6.215	0.111111111111	0	0	18	1
stability_half_life	numeric_regression	min	=	true	1	1	120	120	120	120	120	120	120	120	120	120	0	0	0	1	0	0	1	0
stability_half_life	numeric_regression	s	=	true	1	1	22	22	22	22	22	22	22	22	22	22	0	0	0	1	0	0	1	0
volume_distribution	regression	L/kg	blank	true	5	5	1.2	1.2264	1.332	1.86	2.4	3.1	6.14	6.748	6.9	3.092	2.24038389568	1.24	0.7	0.2	0	0	5	1
