task_id	endpoint_family	parameter_semantics	normalized_unit	strict_modelable	size_bin	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count	assay_family	hard_conflict_rows	helm_representation_rows	largest_source_fraction	parameter_basis	research_modelable	semantic_signature	sequence_representation_rows	smiles_representation_rows	target_transform	unique_identities	unique_sources
mlv1.ppb.regression.fraction_bound.321cd9c71fae708b	PPB	fraction_bound	fraction_bound	false	1	1	1	0.987	0.987	0.987	0.987	0.987	0.987	0.987	0.987	0.987	0.987	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_ac081f7e"",""dose"":""in_vitro_assay_concentration_1e4_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.34e1652f922332d4	PPB	fraction_bound	fraction_bound	false	1	1	1	0.979	0.979	0.979	0.979	0.979	0.979	0.979	0.979	0.979	0.979	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_1754d379"",""dose"":""in_vitro_assay_concentration_1e2_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.35614f34a1a7a2d4	PPB	fraction_bound	fraction_bound	false	1	1	1	0.976	0.976	0.976	0.976	0.976	0.976	0.976	0.976	0.976	0.976	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_4e4261cd"",""dose"":""in_vitro_assay_concentration_1e6_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.3766fa2d0af61f93	PPB	fraction_bound	fraction_bound	false	1	1	1	0.932	0.932	0.932	0.932	0.932	0.932	0.932	0.932	0.932	0.932	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""30_kda_ultrafiltration_hplc"",""dose"":""6_mg_kg_iv_every_24_h"",""matrix"":""serum"",""route"":""iv"",""species"":""human"",""timepoint"":""8_h_after_end_of_infusion""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.37f3305cd86e903a	PPB	fraction_bound	fraction_bound	false	1	1	1	0.983	0.983	0.983	0.983	0.983	0.983	0.983	0.983	0.983	0.983	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_ac081f7e"",""dose"":""in_vitro_assay_concentration_1e6_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.482a39e8f7ed774a	PPB	fraction_bound	fraction_bound	false	5-9	6	5	0.86	0.86	0.86	0.8625	0.88	0.8975	0.93	0.938	0.94	0.886666666667	0.0307679486912	0.035	0.02	0.333333333333	0	0	6	0	ppb	0	6	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""30_kda_ultrafiltration_mass_balance_pla_b1c0cb5b"",""dose"":""not_reported"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""species_not_reported"",""timepoint"":""30_min_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	0	identity	6	1
mlv1.ppb.regression.fraction_bound.51085993acf7d259	PPB	fraction_bound	fraction_bound	false	1	1	1	0.992	0.992	0.992	0.992	0.992	0.992	0.992	0.992	0.992	0.992	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_3a3db96d"",""dose"":""in_vitro_assay_concentration_1e2_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.5322ae609071b6d7	PPB	fraction_bound	fraction_bound	false	1	1	1	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""peptherdia_curated_approved_drug_pk_field"",""dose"":""not_reported"",""matrix"":""plasma"",""route"":""sc_iv_im"",""species"":""human"",""timepoint"":""not_reported""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.5549d0fd838223f9	PPB	fraction_bound	fraction_bound	false	1	1	1	0.984	0.984	0.984	0.984	0.984	0.984	0.984	0.984	0.984	0.984	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_3a3db96d"",""dose"":""in_vitro_assay_concentration_1e6_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.5b657b4b214eeae5	PPB	fraction_bound	fraction_bound	false	1	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""peptherdia_curated_approved_drug_pk_field"",""dose"":""not_reported"",""matrix"":""plasma"",""route"":""iv_oral"",""species"":""human"",""timepoint"":""not_reported""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.64dfb6f7cb987a7c	PPB	fraction_bound	fraction_bound	false	1	1	1	0.991	0.991	0.991	0.991	0.991	0.991	0.991	0.991	0.991	0.991	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_4e4261cd"",""dose"":""in_vitro_assay_concentration_1e2_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.6a03c189526674d6	PPB	fraction_bound	fraction_bound	false	1	1	1	0.993	0.993	0.993	0.993	0.993	0.993	0.993	0.993	0.993	0.993	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_b86b102c"",""dose"":""in_vitro_assay_concentration_1e2_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.6f23666192e73269	PPB	fraction_bound	fraction_bound	false	1	1	1	0.992	0.992	0.992	0.992	0.992	0.992	0.992	0.992	0.992	0.992	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_c5142da5"",""dose"":""in_vitro_assay_concentration_1e2_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.72190d9babf76277	PPB	fraction_bound	fraction_bound	false	1	1	1	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""ultrafiltration_of_spiked_human_serum"",""dose"":""2_5_80_microgram_ml_assay_concentration"",""matrix"":""serum"",""route"":""not_reported"",""species"":""human"",""timepoint"":""not_reported""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.75474699aa738d58	PPB	fraction_bound	fraction_bound	false	1	1	1	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""peptherdia_curated_approved_drug_pk_field"",""dose"":""not_reported"",""matrix"":""plasma"",""route"":""iv_im"",""species"":""human"",""timepoint"":""not_reported""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.7f17cbc742c79dcf	PPB	fraction_bound	fraction_bound	false	1	1	1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""peptherdia_curated_approved_drug_pk_field"",""dose"":""not_reported"",""matrix"":""plasma"",""route"":""im_sc_iv_nasal"",""species"":""human"",""timepoint"":""not_reported""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.82e6fe5522c2eafb	PPB	fraction_bound	fraction_bound	false	2-4	2	2	0.75	0.7524	0.762	0.81	0.87	0.93	0.978	0.9876	0.99	0.87	0.169705627485	0.12	0.12	0.5	0	0	2	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""peptherdia_curated_approved_drug_pk_field"",""dose"":""not_reported"",""matrix"":""plasma"",""route"":""sc_oral"",""species"":""human"",""timepoint"":""not_reported""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	2	identity	2	1
mlv1.ppb.regression.fraction_bound.8355e556c58889c5	PPB	fraction_bound	fraction_bound	false	10-29	12	11	0.05	0.072	0.16	0.3975	0.845	0.94	0.979	0.9878	0.99	0.6675	0.334640241019	0.5425	0.135	0.166666666667	0	0	12	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""peptherdia_curated_approved_drug_pk_field"",""dose"":""not_reported"",""matrix"":""plasma"",""route"":""iv"",""species"":""human"",""timepoint"":""not_reported""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	12	identity	12	1
mlv1.ppb.regression.fraction_bound.8ea410296bfbd7a1	PPB	fraction_bound	fraction_bound	false	1	1	1	0.994	0.994	0.994	0.994	0.994	0.994	0.994	0.994	0.994	0.994	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_3a3db96d"",""dose"":""in_vitro_assay_concentration_1e4_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.94f9f387c68bfeb1	PPB	fraction_bound	fraction_bound	false	10-29	10	10	0.21	0.21567	0.23835	0.5875	0.805	0.89	0.9585	0.9837	0.99	0.7013	0.271917900191	0.3025	0.11	0.1	0	0	10	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""peptherdia_curated_approved_drug_pk_field"",""dose"":""not_reported"",""matrix"":""plasma"",""route"":""sc"",""species"":""human"",""timepoint"":""not_reported""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	10	identity	10	1
mlv1.ppb.regression.fraction_bound.9b38b101a0eb10a2	PPB	fraction_bound	fraction_bound	false	1	1	1	0.988	0.988	0.988	0.988	0.988	0.988	0.988	0.988	0.988	0.988	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_ac081f7e"",""dose"":""in_vitro_assay_concentration_1e2_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.a3e37ba782ea9d7d	PPB	fraction_bound	fraction_bound	false	1	1	1	0.917	0.917	0.917	0.917	0.917	0.917	0.917	0.917	0.917	0.917	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""equilibrium_dialysis_lc_ms"",""dose"":""4_6_or_8_mg_kg_once_daily"",""matrix"":""serum"",""route"":""iv"",""species"":""human"",""timepoint"":""0_5_2_5_and_8_5_h_from_infusion_start_aggregate""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.a55ffc477f9370b7	PPB	fraction_bound	fraction_bound	false	1	1	1	0.986	0.986	0.986	0.986	0.986	0.986	0.986	0.986	0.986	0.986	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_ae39b981"",""dose"":""in_vitro_assay_concentration_1e6_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.a607a5ae92dc2cb0	PPB	fraction_bound	fraction_bound	false	5-9	6	5	0.62	0.627	0.655	0.7725	0.81	0.8175	0.8875	0.9055	0.91	0.788333333333	0.0957949198375	0.045	0.03	0.333333333333	0	0	6	2	ppb	0	6	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""30_kda_ultrafiltration_mass_balance_pla_b1c0cb5b"",""dose"":""not_reported"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""30_min_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	0	identity	6	1
mlv1.ppb.regression.fraction_bound.adb8582b48bd5ab6	PPB	fraction_bound	fraction_bound	false	10-29	16	13	0	0	0	0.0003	0.152	0.3535	0.81375	0.84675	0.855	0.2422125	0.288414613303	0.3532	0.152	0.25	4	0	12	0	ppb	0	16	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""equilibrium_dialysis"",""dose"":""not_reported"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""species_not_reported"",""timepoint"":""not_reported""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	0	identity	16	1
mlv1.ppb.regression.fraction_bound.b06ae48932ab2d73	PPB	fraction_bound	fraction_bound	false	1	1	1	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_1754d379"",""dose"":""in_vitro_assay_concentration_1e4_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.b4ae2e2deea571f5	PPB	fraction_bound	fraction_bound	false	5-9	5	5	0	0.0276	0.138	0.69	0.97	0.988	0.9968	0.99856	0.999	0.7294	0.427499473684	0.298	0.029	0.2	1	0	4	1	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""peptherdia_curated_approved_drug_pk_field"",""dose"":""not_reported"",""matrix"":""plasma"",""route"":""oral"",""species"":""human"",""timepoint"":""not_reported""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	5	identity	5	1
mlv1.ppb.regression.fraction_bound.be51288bfb745108	PPB	fraction_bound	fraction_bound	false	1	1	1	0.937	0.937	0.937	0.937	0.937	0.937	0.937	0.937	0.937	0.937	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""30_kda_ultrafiltration_hplc"",""dose"":""6_mg_kg_iv_every_24_h"",""matrix"":""serum"",""route"":""iv"",""species"":""human"",""timepoint"":""2_h_after_end_of_infusion""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.c0f68a21276fbfce	PPB	fraction_bound	fraction_bound	false	1	1	1	0.942	0.942	0.942	0.942	0.942	0.942	0.942	0.942	0.942	0.942	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""30_kda_ultrafiltration_hplc"",""dose"":""6_mg_kg_iv_every_24_h"",""matrix"":""serum"",""route"":""iv"",""species"":""human"",""timepoint"":""0_5_h_after_end_of_infusion""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.c1e54c21be2ccdd5	PPB	fraction_bound	fraction_bound	false	1	1	1	0.991	0.991	0.991	0.991	0.991	0.991	0.991	0.991	0.991	0.991	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_45eeac32"",""dose"":""in_vitro_assay_concentration_1e4_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.c5f97b4a59f44823	PPB	fraction_bound	fraction_bound	false	1	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""peptherdia_curated_approved_drug_pk_field"",""dose"":""not_reported"",""matrix"":""plasma"",""route"":""it"",""species"":""human"",""timepoint"":""not_reported""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.c623f922027c3b2c	PPB	fraction_bound	fraction_bound	false	1	1	1	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_b86b102c"",""dose"":""in_vitro_assay_concentration_1e6_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.c797c9440d5f28ea	PPB	fraction_bound	fraction_bound	false	1	1	1	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_ae39b981"",""dose"":""in_vitro_assay_concentration_1e2_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
mlv1.ppb.regression.fraction_bound.c806fe6de4a9c454	PPB	fraction_bound	fraction_bound	false	1	1	1	0.993	0.993	0.993	0.993	0.993	0.993	0.993	0.993	0.993	0.993	0	0	0	1	0	0	1	0	ppb	0	0	1	plasma_or_serum_protein_binding	false	"{""assay_family"":""ppb"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""reiterated_stepwise_equilibrium_dialysi_45eeac32"",""dose"":""in_vitro_assay_concentration_1e2_pm"",""matrix"":""plasma"",""route"":""not_reported"",""species"":""human"",""timepoint"":""4_5_h_incubation_at_37_c""},""endpoint_family"":""PPB"",""normalized_unit"":""fraction_bound"",""parameter_basis"":""plasma_or_serum_protein_binding"",""parameter_semantics"":""fraction_bound"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	1	identity	1	1
