task_id	endpoint_family	normalized_unit	normalized_relation	censoring_type	point_regression_eligible	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count
mlv1.t1_2.regression.systemic_terminal_pk.50dbd3e301b897d1	T1/2	log10(h)	~	approximate	false	1	1	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.522b02c8bc658894	T1/2	log10(h)	<	upper_bound	false	1	1	-1.17609125906	-1.17609125906	-1.17609125906	-1.17609125906	-1.17609125906	-1.17609125906	-1.17609125906	-1.17609125906	-1.17609125906	-1.17609125906	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.522b02c8bc658894	T1/2	log10(h)	~	approximate	false	8	8	-2.51490981561	-2.50757834107	-2.47825244293	-2.17297199343	-1.93354616686	-1.89384409543	-1.80893556001	-1.78430811231	-1.77815125038	-2.05417859692	0.268577073995	0.279127897998	0.1114173313	0.125	0	8	0	0
mlv1.t1_2.regression.systemic_terminal_pk.580244e859e29d95	T1/2	log10(h)	~	approximate	false	1	1	0.176091259056	0.176091259056	0.176091259056	0.176091259056	0.176091259056	0.176091259056	0.176091259056	0.176091259056	0.176091259056	0.176091259056	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.systemic_terminal_pk.5814d195528aebdd	T1/2	log10(h)	<	upper_bound	false	1	1	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.6a1d5b8d2d02de92	T1/2	log10(h)	~	approximate	false	1	1	1.84509804001	1.84509804001	1.84509804001	1.84509804001	1.84509804001	1.84509804001	1.84509804001	1.84509804001	1.84509804001	1.84509804001	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.systemic_terminal_pk.6cc42676dcd9894f	T1/2	log10(h)	~	approximate	false	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.systemic_terminal_pk.6d54e807e08d7207	T1/2	log10(h)	<	upper_bound	false	1	1	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.713ae2bd3ac9d54e	T1/2	log10(h)	~	approximate	false	1	1	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.7f7368999ce162fd	T1/2	log10(h)	~	approximate	false	1	1	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.914c098c7070108e	T1/2	log10(h)	~	approximate	false	2	2	-0.124938736608	-0.120679049285	-0.103640299994	-0.01844655354	0.088045629528	0.194537812596	0.27973155905	0.296770308341	0.301029995664	0.088045629528	0.301205379163	0.212984366136	0.212984366136	0.5	0	1	1	0
mlv1.t1_2.regression.systemic_terminal_pk.93977e2909d900c2	T1/2	log10(h)	<	upper_bound	false	1	1	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.93977e2909d900c2	T1/2	log10(h)	>	lower_bound	false	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
mlv1.t1_2.regression.systemic_terminal_pk.ac88d06dbb5e5e17	T1/2	log10(h)	~	approximate	false	3	3	0.698970004336	0.700057157582	0.704405770568	0.726148835497	0.753327666659	0.793980136497	0.826502112368	0.833006507542	0.834632606336	0.762310092444	0.0682758989328	0.067831301	0.054357662323	0.333333333333	0	0	3	0
mlv1.t1_2.regression.systemic_terminal_pk.ace54304c4d16974	T1/2	log10(h)	~	approximate	false	1	1	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.systemic_terminal_pk.b3ed4e176d40eb3b	T1/2	log10(h)	<	upper_bound	false	1	1	-0.602059991328	-0.602059991328	-0.602059991328	-0.602059991328	-0.602059991328	-0.602059991328	-0.602059991328	-0.602059991328	-0.602059991328	-0.602059991328	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.be34908dd12a467d	T1/2	log10(h)	<	upper_bound	false	1	1	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.bfadb866bf932c68	T1/2	log10(h)	~	approximate	false	1	1	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.ca7341255cbf79ce	T1/2	log10(h)	>	lower_bound	false	1	1	0.778151250384	0.778151250384	0.778151250384	0.778151250384	0.778151250384	0.778151250384	0.778151250384	0.778151250384	0.778151250384	0.778151250384	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.systemic_terminal_pk.cffedd6ca0206f92	T1/2	log10(h)	~	approximate	false	2	2	0.255272505103	0.257538981428	0.266604886728	0.311934413227	0.368596321352	0.425258229476	0.470587755976	0.479653661276	0.481920137601	0.368596321352	0.160264077879	0.113323816249	0.113323816249	0.5	0	0	2	0
mlv1.t1_2.regression.systemic_terminal_pk.dc73b2e13aed016f	T1/2	log10(h)	~	approximate	false	1	1	0.447158031342	0.447158031342	0.447158031342	0.447158031342	0.447158031342	0.447158031342	0.447158031342	0.447158031342	0.447158031342	0.447158031342	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.systemic_terminal_pk.e943cd3e4435b6f5	T1/2	log10(h)	~	approximate	false	1	1	1.17609125906	1.17609125906	1.17609125906	1.17609125906	1.17609125906	1.17609125906	1.17609125906	1.17609125906	1.17609125906	1.17609125906	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.systemic_terminal_pk.ed41a07822e30c04	T1/2	log10(h)	>	lower_bound	false	1	1	0.903089986992	0.903089986992	0.903089986992	0.903089986992	0.903089986992	0.903089986992	0.903089986992	0.903089986992	0.903089986992	0.903089986992	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.systemic_terminal_pk.efc1fe9251c9b354	T1/2	log10(h)	~	approximate	false	2	1	2	2	2	2	2	2	2	2	2	2	0	0	0	1	0	0	2	0
mlv1.t1_2.regression.systemic_terminal_pk.f4e4a3e8cdd32670	T1/2	log10(h)	<	upper_bound	false	1	1	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	0	0	0	1	0	1	0	0
