task_id	endpoint_family	normalized_unit	normalized_relation	censoring_type	point_regression_eligible	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count
mlv1.t1_2.regression.other_context.c93620d07d01db51	T1/2	log10(h)	>	lower_bound	false	1	1	0.263241434775	0.263241434775	0.263241434775	0.263241434775	0.263241434775	0.263241434775	0.263241434775	0.263241434775	0.263241434775	0.263241434775	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.other_context.cfc6a7173daa9e9a	T1/2	log10(h)	>	lower_bound	false	1	1	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.other_context.e18e4c3b14fe466a	T1/2	log10(h)	~	approximate	false	1	1	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.other_context.fa2ad71d6b8a67a2	T1/2	log10(h)	<	upper_bound	false	3	1	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	0	0	0	1	0	3	0	0
mlv1.t1_2.regression.plasma_serum_stability.01ccb0bd6b1540d6	T1/2	log10(h)	<	upper_bound	false	1	1	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.plasma_serum_stability.01ccb0bd6b1540d6	T1/2	log10(h)	>	lower_bound	false	2	2	1.07918124605	1.08139973355	1.09027368353	1.13464343345	1.19010562086	1.24556780826	1.28993755818	1.29881150816	1.30102999566	1.19010562086	0.156870755247	0.110924374805	0.110924374805	0.5	0	0	2	0
mlv1.t1_2.regression.plasma_serum_stability.06e81e84546aa5ae	T1/2	log10(h)	>	lower_bound	false	1	1	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.plasma_serum_stability.06e81e84546aa5ae	T1/2	log10(h)	~	approximate	false	2	2	-0.301029995664	-0.295009395751	-0.270926996098	-0.150514997832	0	0.150514997832	0.270926996098	0.295009395751	0.301029995664	0	0.425720702549	0.301029995664	0.301029995664	0.5	0	1	1	0
mlv1.t1_2.regression.plasma_serum_stability.0c192e8a53cc7fc7	T1/2	log10(h)	~	approximate	false	3	3	-0.435728569561	-0.420993398256	-0.362052713038	-0.0673492869485	0.301029995664	0.690105620857	1.00136612101	1.06361822104	1.07918124605	0.314827557384	0.757549151469	0.757454907805	0.736758565225	0.333333333333	0	1	2	0
mlv1.t1_2.regression.plasma_serum_stability.0f7aee5062d48b63	T1/2	log10(h)	>	lower_bound	false	5	3	0.698970004336	0.726219653831	0.835218251811	1.38021124171	1.38021124171	1.38021124171	1.62103523825	1.66920003755	1.68124123738	1.30416899337	0.362559155218	0	0	0.6	0	0	5	2
