data_layer	endpoint	partition	length_metric	length	representative_rows	member_rows
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	28	11	11
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	29	10	10
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	30	23	23
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	31	7	7
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	32	3	3
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	33	7	7
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	34	4	4
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	35	2	2
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	36	16	16
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	37	7	7
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	38	7	7
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	39	10	10
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	40	2	2
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	41	7	7
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	42	4	4
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	43	2	2
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	44	4	4
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	46	2	2
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	49	2	2
ml_clean_partitions	BBB	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	50	2	2
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	2	2	2
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	3	3	3
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	4	4	4
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	5	4	4
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	6	1	1
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	7	1	1
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	8	3	3
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	9	3	3
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	10	3	3
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	11	2	2
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	12	1	1
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	13	2	2
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	14	1	1
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	19	7	7
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	21	2	2
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	23	2	2
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	27	2	2
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	28	4	4
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	31	1	1
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	34	1	1
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	36	3	3
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	37	1	1
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	38	4	4
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	39	3	3
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	40	2	2
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	41	3	3
ml_clean_partitions	BBB	positive_unlabeled	raw_standard_20aa_residue_count	50	2	2
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	2	1	1
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	3	4	4
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	4	5	5
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	5	15	15
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	6	9	9
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	7	7	7
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	8	13	13
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	9	10	10
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	10	10	10
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	11	5	5
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	12	3	3
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	13	3	3
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	14	1	1
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	15	2	2
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	16	2	2
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	18	2	2
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	19	3	3
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	21	7	7
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	23	2	2
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	25	2	2
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	27	1	1
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	28	2	2
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	29	2	2
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	30	4	4
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	33	1	1
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	34	1	1
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	36	1	1
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	38	3	3
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	39	1	1
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	40	4	4
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	41	3	3
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	42	2	2
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	43	3	3
ml_clean_partitions	BBB	positive_unlabeled	selected_model_residue_count_sequence_or_helm	52	2	2
ml_clean_partitions	CL	identity_review	raw_standard_20aa_residue_count	6	17	17
ml_clean_partitions	CL	normalization_review	raw_standard_20aa_residue_count	6	1	1
ml_clean_partitions	CL	normalization_review	selected_model_residue_count_sequence_or_helm	7	1	1
ml_clean_partitions	CL	normalization_review	selected_model_residue_count_sequence_or_helm	11	1	1
ml_clean_partitions	CL	semantic_review	raw_standard_20aa_residue_count	9	12	12
ml_clean_partitions	CL	semantic_review	selected_model_residue_count_sequence_or_helm	9	12	12
ml_clean_partitions	CL	strict_numeric	raw_standard_20aa_residue_count	9	10	10
ml_clean_partitions	CL	strict_numeric	raw_standard_20aa_residue_count	12	2	2
ml_clean_partitions	CL	strict_numeric	raw_standard_20aa_residue_count	17	6	6
ml_clean_partitions	CL	strict_numeric	raw_standard_20aa_residue_count	18	4	4
ml_clean_partitions	CL	strict_numeric	raw_standard_20aa_residue_count	30	5	5
ml_clean_partitions	CL	strict_numeric	raw_standard_20aa_residue_count	39	5	5
ml_clean_partitions	CL	strict_numeric	selected_model_residue_count_sequence_or_helm	9	5	5
ml_clean_partitions	CL	strict_numeric	selected_model_residue_count_sequence_or_helm	12	2	2
ml_clean_partitions	CL	strict_numeric	selected_model_residue_count_sequence_or_helm	18	4	4
ml_clean_partitions	CL	strict_numeric	selected_model_residue_count_sequence_or_helm	19	6	6
ml_clean_partitions	CL	strict_numeric	selected_model_residue_count_sequence_or_helm	30	5	5
ml_clean_partitions	CL	strict_numeric	selected_model_residue_count_sequence_or_helm	39	5	5
ml_clean_partitions	F	identity_review	raw_standard_20aa_residue_count	6	6	6
ml_clean_partitions	F	semantic_review	raw_standard_20aa_residue_count	33	1	1
ml_clean_partitions	F	semantic_review	raw_standard_20aa_residue_count	34	1	1
ml_clean_partitions	F	strict_numeric	raw_standard_20aa_residue_count	18	3	3
ml_clean_partitions	F	strict_numeric	raw_standard_20aa_residue_count	34	3	3
ml_clean_partitions	F	strict_numeric	selected_model_residue_count_sequence_or_helm	18	3	3
ml_clean_partitions	LogD	identity_review	raw_standard_20aa_residue_count	2	21	21
ml_clean_partitions	LogD	identity_review	raw_standard_20aa_residue_count	5	5	5
ml_clean_partitions	LogD	identity_review	raw_standard_20aa_residue_count	6	26	26
ml_clean_partitions	LogD	identity_review	raw_standard_20aa_residue_count	7	8	8
ml_clean_partitions	LogD	identity_review	raw_standard_20aa_residue_count	8	9	9
ml_clean_partitions	LogD	normalization_review	selected_model_residue_count_sequence_or_helm	4	2	2
ml_clean_partitions	LogD	normalization_review	selected_model_residue_count_sequence_or_helm	11	1	1
ml_clean_partitions	LogD	strict_numeric	raw_standard_20aa_residue_count	10	9	9
ml_clean_partitions	LogD	strict_numeric	raw_standard_20aa_residue_count	13	2	2
ml_clean_partitions	LogD	strict_numeric	raw_standard_20aa_residue_count	14	2	2
ml_clean_partitions	PPB	identity_review	raw_standard_20aa_residue_count	6	19	19
ml_clean_partitions	PPB	normalization_review	raw_standard_20aa_residue_count	6	2	2
ml_clean_partitions	PPB	normalization_review	raw_standard_20aa_residue_count	7	1	1
ml_clean_partitions	PPB	normalization_review	selected_model_residue_count_sequence_or_helm	4	1	1
ml_clean_partitions	PPB	normalization_review	selected_model_residue_count_sequence_or_helm	7	3	3
ml_clean_partitions	PPB	normalization_review	selected_model_residue_count_sequence_or_helm	8	1	1
ml_clean_partitions	PPB	normalization_review	selected_model_residue_count_sequence_or_helm	9	1	1
ml_clean_partitions	PPB	normalization_review	selected_model_residue_count_sequence_or_helm	11	1	1
ml_clean_partitions	PPB	strict_numeric	raw_standard_20aa_residue_count	7	3	3
ml_clean_partitions	PPB	strict_numeric	raw_standard_20aa_residue_count	8	4	4
ml_clean_partitions	PPB	strict_numeric	raw_standard_20aa_residue_count	9	9	9
ml_clean_partitions	PPB	strict_numeric	selected_model_residue_count_sequence_or_helm	7	3	3
ml_clean_partitions	PPB	strict_numeric	selected_model_residue_count_sequence_or_helm	8	4	4
ml_clean_partitions	PPB	strict_numeric	selected_model_residue_count_sequence_or_helm	9	9	9
ml_clean_partitions	PPB	strict_numeric	selected_model_residue_count_sequence_or_helm	16	8	8
ml_clean_partitions	PPB	strict_numeric	selected_model_residue_count_sequence_or_helm	19	2	2
ml_clean_partitions	PPB	strict_numeric	selected_model_residue_count_sequence_or_helm	21	2	2
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	2	12	12
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	3	8	8
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	4	9	9
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	5	18	18
