endpoint_family	partition	representation_type	rows	member_rows	unique_identity_groups	unique_representations	character_length_iqr	character_length_mad	character_length_max	character_length_mean	character_length_median	character_length_min	character_length_n	character_length_negative_count	character_length_p01	character_length_p05	character_length_p25	character_length_p75	character_length_p95	character_length_p99	character_length_positive_count	character_length_sd	character_length_top_value_fraction	character_length_tukey_outlier_count	character_length_unique_values	character_length_zero_count	model_residue_count_iqr	model_residue_count_mad	model_residue_count_max	model_residue_count_mean	model_residue_count_median	model_residue_count_min	model_residue_count_n	model_residue_count_negative_count	model_residue_count_p01	model_residue_count_p05	model_residue_count_p25	model_residue_count_p75	model_residue_count_p95	model_residue_count_p99	model_residue_count_positive_count	model_residue_count_sd	model_residue_count_top_value_fraction	model_residue_count_tukey_outlier_count	model_residue_count_unique_values	model_residue_count_zero_count	nonascii_rows	prefix_error_rows
LogD	normalization_review	helm	3	3	3	3	45	5	125	66.6666666667	40	35	3	0	35.1	35.5	37.5	82.5	116.5	123.3	3	50.579969685	0.333333333333	0	3	0	3.5	0	11	6.33333333333	4	4	3	0	4	4	4	7.5	10.3	10.86	3	4.04145188433	0.666666666667	0	2	0	0	0
LogD	strict_numeric	smiles	79	79	79	79	82	21	338	181.607594937	195	56	79	0	56	59	129	211	308.3	331.76	79	67.9142403634	0.0506329113924	1	58	0							0												0		0	0
PPB	all	helm	35	35	28	28	49.5	22	136	80.9714285714	63	40	35	0	40.34	41	61	110.5	120	130.56	35	27.4767128292	0.257142857143	0	13	0	8	2	21	11.2857142857	9	4	35	0	5.02	7	8	16	19.6	21	35	4.71275758273	0.285714285714	0	8	0	0	0
PPB	all	missing	19	19	0	0							0												0								0												0		0	0
PPB	all	smiles	86	86	53	53	453.25	123.5	808	367.151162791	278	54	86	0	54.85	90.25	179.75	633	653.25	800.35	86	223.191741226	0.290697674419	0	51	0							0												0		0	0
PPB	censored_numeric	smiles	7	7	7	7	291	156	633	292.142857143	315	55	7	0	55.72	58.6	115	406	584.4	623.28	7	213.965284234	0.142857142857	0	7	0							0												0		0	0
PPB	identity_review	missing	19	19	0	0							0												0								0												0		0	0
PPB	normalization_review	helm	7	7	6	6	68	35	136	78.8571428571	76	40	7	0	40.06	40.3	41	109	127.9	134.38	7	39.7216505675	0.285714285714	0	5	0	1.5	1	11	7.57142857143	7	4	7	0	4.18	4.9	7	8.5	10.4	10.88	7	2.14919697074	0.428571428571	2	5	0	0	0
PPB	semantic_review	smiles	4	4	2	2	27	13.5	278	264.5	264.5	251	4	0	251	251	251	278	278	278	4	15.5884572681	0.5	0	2	0							0												0		0	0
PPB	strict_numeric	helm	28	28	22	22	49.5	4	120	81.5	63	59	28	0	59	59	62.5	112	119.3	120	28	24.4669088695	0.321428571429	0	8	0	7.25	2	21	12.2142857143	9	7	28	0	7	7	8.75	16	20.3	21	28	4.74034803268	0.321428571429	0	6	0	0	0
PPB	strict_numeric	smiles	75	75	47	47	452.5	137	808	379.626666667	278	54	75	0	65.1	102.8	180.5	633	664.8	801.34	75	228.556443637	0.32	0	46	0							0												0		0	0
T1/2	all	helm	2804	2835	1208	1215	58	26	2012	103.12232525	64	20	2804	0	24	28	38	96	349.7	951.7	2804	169.935522223	0.0841654778887	231	166	0	28.25	13	997	42.5320970043	23	1	2804	0	3	5	10	38.25	165.85	466.85	2804	84.9735895493	0.0841654778887	232	163	0	0	0
T1/2	all	missing	964	964	0	0							0												0								0												0		0	0
T1/2	all	sequence	939	939	918	918	19	6	104	24.7444089457	20	6	939	0	6	9.9	14	33	49	88	939	15.2085242253	0.220447284345	24	71	0	19	6	100	20.7444089457	16	2	939	0	2	5.9	10	29	45	84	939	15.2085242253	0.220447284345	24	71	0	0	0
T1/2	all	smiles	225	226	101	101	353	179	24615	1538.01777778	555	53	225	0	75.68	94.4	240	593	992	24615	225	4993.52561266	0.191111111111	10	91	0							0												0		0	0
T1/2	binary_evidence_catalog	sequence	918	918	918	918	19	6	104	24.4651416122	20	6	918	0	6	9	14	33	49.15	88	918	15.1927773882	0.225490196078	24	71	0	19	6	100	20.4651416122	16	2	918	0	2	5	10	29	45.15	84	918	15.1927773882	0.225490196078	24	71	0	0	0
T1/2	censored_numeric	helm	173	175	106	108	50	22	832	86.8092485549	62	24	173	0	24	28	40	90	187.2	763.68	173	115.832846318	0.0809248554913	12	50	0	25	11	407	34.4046242775	22	3	173	0	3	5	11	36	84.6	372.84	173	57.9164231589	0.0809248554913	12	50	0	0	0
T1/2	censored_numeric	sequence	1	1	1	1	0	0	10	10	10	10	1	0	10	10	10	10	10	10	1	0	1	0	1	0	0	0	6	6	6	6	1	0	6	6	6	6	6	6	1	0	1	0	1	0	0	0
T1/2	censored_numeric	smiles	21	21	15	15	865	232	992	478.80952381	341	94	21	0	97	109	127	992	992	992	21	380.552048877	0.285714285714	0	15	0							0												0		0	0
T1/2	identity_review	missing	964	964	0	0							0												0								0												0		0	0
T1/2	normalization_review	helm	67	68	23	23	24	6	105	50.4328358209	44	28	67	0	31.96	34	40	64	85.3	102.36	67	16.4346491703	0.223880597015	2	16	0	9	3	39	15	12	5	67	0	6.98	8	11	20	23	36.36	67	6.56205806593	0.223880597015	2	13	0	0	0
T1/2	normalization_review	smiles	2	2	2	2	140.5	140.5	399	258.5	258.5	118	2	0	120.81	132.05	188.25	328.75	384.95	396.19	2	198.697005513	0.5	0	2	0							0												0		0	0
T1/2	semantic_review	helm	1303	1329	274	281	58	24	1748	109.803530315	78	20	1303	0	24	28	40	98	349.8	748	1303	172.260612638	0.0667689946278	112	85	0	29	12	865	45.9017651573	30	1	1303	0	3	5	11	40	165.9	365	1303	86.1303063191	0.0667689946278	112	85	0	0	0
T1/2	semantic_review	smiles	91	92	15	15	38	38	24615	3172.24175824	593	83	91	0	83	117	555	593	24615	24615	91	7578.09269809	0.406593406593	41	15	0							0												0		0	0
T1/2	strict_numeric	helm	1261	1263	956	959	48	16	2012	101.256145916	50	22	1261	0	23.2	28	38	86	374	1160.8	1261	177.482148141	0.163362410785	111	131	0	24	8	997	41.628072958	16	2	1261	0	2.6	5	10	34	178	571.4	1261	88.7410740703	0.163362410785	111	131	0	0	0
T1/2	strict_numeric	sequence	20	20	20	20	0.5	0	43	38.3	42	13	20	0	14.71	21.55	41.5	42	42.05	42.81	20	8.37351715074	0.7	6	7	0	0.5	0	39	34.3	38	9	20	0	10.71	17.55	37.5	38	38.05	38.81	20	8.37351715074	0.7	6	7	0	0	0
T1/2	strict_numeric	smiles	111	111	83	83	413	217	808	421.693693694	418	53	111	0	69.5	90.5	185	598	755.5	762	111	231.666955025	0.045045045045	0	77	0							0												0		0	0
Vd	all	helm	34	34	5	5	62	7	262	109.852941176	70	63	34	0	63	63	63	125	262	262	34	74.5516426065	0.470588235294	6	5	0	21	3	39	18.4411764706	12	9	34	0	9	9	9	30	39	39	34	11.4049196627	0.470588235294	0	5	0	0	0
Vd	all	missing	6	6	0	0							0												0								0												0		0	0
Vd	all	sequence	4	4	1	1	0	0	22	22	22	22	4	0	22	22	22	22	22	22	4	0	1	0	1	0	0	0	18	18	18	18	4	0	18	18	18	18	18	18	4	0	1	0	1	0	0	0
Vd	all	smiles	14	14	5	5	41.75	1	159	138.785714286	158	87	14	0	87	87	117	158.75	159	159	14	28.66297148	0.357142857143	0	5	0							0												0		0	0
Vd	identity_review	missing	6	6	0	0							0												0								0												0		0	0
Vd	semantic_review	helm	10	10	1	1	0	0	63	63	63	63	10	0	63	63	63	63	63	63	10	0	1	0	1	0	0	0	9	9	9	9	10	0	9	9	9	9	9	9	10	0	1	0	1	0	0	0
Vd	semantic_review	smiles	4	4	2	2	30	15	117	102	102	87	4	0	87	87	87	117	117	117	4	17.3205080757	0.5	0	2	0							0												0		0	0
Vd	strict_numeric	helm	24	24	5	5	91	15	262	129.375	78	63	24	0	63	63	68.25	159.25	262	262	24	81.3777089979	0.25	0	5	0	18.75	10	39	22.375	19	9	24	0	9	9	11.25	30	39	39	24	11.477056508	0.25	0	5	0	0	0
Vd	strict_numeric	sequence	4	4	1	1	0	0	22	22	22	22	4	0	22	22	22	22	22	22	4	0	1	0	1	0	0	0	18	18	18	18	4	0	18	18	18	18	18	18	4	0	1	0	1	0	0	0
Vd	strict_numeric	smiles	10	10	3	3	1	0.5	159	153.5	158	109	10	0	113.41	131.05	158	159	159	159	10	15.6436000403	0.5	1	3	0							0												0		0	0
__ALL__	all	helm	14435	14507	11113	11549	32	16	2012	90.4160720471	86	20	14435	0	28	38	68	100	128	348	14435	77.7177877257	0.0662279182542	306	239	0	11	4	997	17.7452026325	10	1	14435	0	3	6	7	18	39	165	14435	39.8798639793	0.158919293384	904	163	0	0	0
__ALL__	all	missing	1081	1081	0	0							0												0								0												0		0	0
__ALL__	all	sequence	2053	2053	1750	1750	15	6	104	20.6380905991	16	6	2053	0	6	6	12	27	44	67.44	2053	13.3930697892	0.130053580127	52	71	0	15	6	100	16.6380905991	12	2	2053	0	2	2	8	23	40	63.44	2053	13.3930697892	0.130053580127	52	71	0	0	0
__ALL__	all	smiles	2410	2411	1569	1570	47	15	24615	239.580082988	83	42	2410	0	58	63	71	118	593	795	2410	1581.01226316	0.0369294605809	349	236	0							0												0		0	0
cell_penetration	all	helm	784	784	784	784	14	6	155	60.4260204082	58	34	784	0	38	41.15	52	66	88	108.34	784	14.8162741107	0.137755102041	44	58	0	7	3	45	17.6683673469	17	5	784	0	7	8	13	20	31	39	784	6.79566531422	0.139030612245	42	39	0	0	0
cell_penetration	positive_unlabeled	helm	784	784	784	784	14	6	155	60.4260204082	58	34	784	0	38	41.15	52	66	88	108.34	784	14.8162741107	0.137755102041	44	58	0	7	3	45	17.6683673469	17	5	784	0	7	8	13	20	31	39	784	6.79566531422	0.139030612245	42	39	0	0	0
permeability	all	helm	8414	8455	7616	8044	20	10	176	96.4997623009	94	60	8414	0	68	75	86	106	128	140	8414	15.4340562222	0.0399334442596	156	99	0	4	1	15	8.33147135726	7	2	8414	0	3	6	6	10	12	14	8414	2.41170050886	0.265866413121	0	14	0	0	0
permeability	all	smiles	1895	1895	1382	1382	21	9	253	83.9218997361	76	42	1895	0	58	63	69	90	132.3	177.18	1895	24.2507845175	0.0459102902375	146	126	0							0												0		0	0
permeability	censored_numeric	smiles	25	25	25	25	9	3	172	91.88	68	54	25	0	55.44	60.8	67	76	172	172	25	45.6429257023	0.28	6	13	0							0												0		0	0
permeability	normalization_review	smiles	16	16	16	16	63.75	23.5	222	146.5625	166.5	42	16	0	45.75	60.75	111.25	175	213.75	220.35	16	51.9820081054	0.25	0	13	0							0												0		0	0
